Delito,SubDelito,Fecha,Hora,Victima,SubVictima,Edad,Genero,Nacionalidad,Provincia,Canton,Distrito
OTROS DELITOS CONTRA LA PROPIEDAD,USURPACIONES,03/31/2023,21:00:00 - 23:59:59,PERSONA,OTRO O INDETERMINADO,Mayor de edad,Mayor de edad,COSTA RICA,SAN JOSE,ASERRI,ASERRI
OTROS DELITOS CONTRA LA PROPIEDAD,DAÑOS,03/31/2023,21:00:00 - 23:59:59,VEHICULO,AUTOMOVIL,Mayor de edad,Mayor de edad,COSTA RICA,SAN JOSE,SAN JOSE,HOSPITAL
OTROS DELITOS,OTRO O INDETERMINADO,03/31/2023,21:00:00 - 23:59:59,PERSONA,OTRO O INDETERMINADO,Mayor de edad,Mayor de edad,COSTA RICA,SAN JOSE,SAN JOSE,ZAPOTE
OTROS DELITOS,OTRO O INDETERMINADO,03/31/2023,21:00:00 - 23:59:59,PERSONA,CLIENTE LOCAL COMERCIAL,Mayor de edad,Mayor de edad,COSTA RICA,SAN JOSE,SAN JOSE,SAN FRANCISCO DE DOS RIOS
ESTAFAS Y OTRAS DEFRAUDACIONES,ESTAFA,03/31/2023,21:00:00 - 23:59:59,PERSONA,CLIENTE BANCARIO,Mayor de edad,Mayor de edad,COSTA RICA,SAN JOSE,SAN JOSE,CARMEN
DESCONOCIDO,DESCONOCIDO,03/31/2023,21:00:00 - 23:59:59,OTROS,NO DEFINIDO,Mayor de edad,Mayor de edad,COSTA RICA,SAN JOSE,SANTA ANA,SANTA ANA
DELITOS SEXUALES,"VIOLACION, ESTUPRO Y ABUSO DESHONESTO",03/31/2023,21:00:00 - 23:59:59,PERSONA,OTRO O INDETERMINADO,Mayor de edad,Mayor de edad,COSTA RICA,SAN JOSE,SAN JOSE,PAVAS
DELITOS CONTRA LA PROPIEDAD,ROBO DE VEHICULO,03/31/2023,21:00:00 - 23:59:59,VEHICULO,SERVICIO PUBLICO/TAXI LEGAL O PIRATA/AUTOBUS,Mayor de edad,Mayor de edad,COSTA RICA,SAN JOSE,SAN JOSE,CARMEN
DELITOS CONTRA LA PROPIEDAD,ASALTO,03/31/2023,21:00:00 - 23:59:59,PERSONA,PEATON,Mayor de edad,Mayor de edad,NICARAGUA,SAN JOSE,SAN JOSE,HOSPITAL
DELITOS CONTRA LA PROPIEDAD,ASALTO,03/31/2023,21:00:00 - 23:59:59,PERSONA,OTRO O INDETERMINADO,Mayor de edad,Mayor de edad,COSTA RICA,SAN JOSE,SAN JOSE,MERCED
